,stats,aic
332,"ARIMA(1, 1, 0)x(0, 2, 2, 12)",-278.5173712353017
333,"ARIMA(1, 1, 0)x(1, 0, 0, 12)",-397.255940919341
334,"ARIMA(1, 1, 0)x(1, 0, 1, 12)",-395.2668111512683
335,"ARIMA(1, 1, 0)x(1, 0, 2, 12)",-396.10400242026856
336,"ARIMA(1, 1, 0)x(1, 1, 0, 12)",-187.26485699541172
337,"ARIMA(1, 1, 0)x(1, 1, 1, 12)",-342.3975137358016
338,"ARIMA(1, 1, 0)x(1, 1, 2, 12)",-348.58904861650194
339,"ARIMA(1, 1, 0)x(1, 2, 0, 12)",177.58128251103892
340,"ARIMA(1, 1, 0)x(1, 2, 1, 12)",-127.51602721034388
341,"ARIMA(1, 1, 0)x(1, 2, 2, 12)",-276.58809432959464
342,"ARIMA(1, 1, 0)x(2, 0, 0, 12)",-398.95120596146324
343,"ARIMA(1, 1, 0)x(2, 0, 1, 12)",-397.0213790151329
344,"ARIMA(1, 1, 0)x(2, 0, 2, 12)",-409.8988077912024
345,"ARIMA(1, 1, 0)x(2, 1, 0, 12)",-240.22541135056133
346,"ARIMA(1, 1, 0)x(2, 1, 1, 12)",-350.930632510707
347,"ARIMA(1, 1, 0)x(2, 1, 2, 12)",-349.53455460134956
348,"ARIMA(1, 1, 0)x(2, 2, 0, 12)",58.89000099845446
349,"ARIMA(1, 1, 0)x(2, 2, 1, 12)",-177.47287621931284
